FILENAME;ID;START_POS;IS_HEX;TEXT_ORIGINAL;TEXT_LITERAL_ENGLISH;TEXT_CONVERTED_ENGLISH
FL1_2.MES;1;0x0;Y;B6 13 B2 13 A7 11 2C 11 2C 10 4F 2C 10 C7 A9 10 07 AA 9B 40 2C 13 2C 18 20 00 B0 AD 22 70 69 63 5C 31 2D 32 2E 70 72 37 22 B2 14 A7 17 2C 10 98 2C 10 49 2C 10 C7 AA A9 17 9D 08 02 63 11 3D ;"File header, including the loading of image file ""pic\1-2.pr7""";
FL1_2.MES;2;0x40;N;［女の子］あ、あなたは誰？・・・人間の顔をしたステロイド！？・・・ぶ、不気味なヤツだわ。;[Girl] Oh, who are you? ... A steroid with a human face! ? ... it's a creepy guy.;
FL1_2.MES;3;0x98;Y;A6 AA;;
FL1_2.MES;4;0x9A;N;［女の子］え？・・・俺はキミの敵じゃないですって？・・・じゃい、いったいなんなのよ、そんな機械を着ちゃってさ。;[Girl] Eh? ... I'm not your enemy? ... Well, what the heck is that, wearing such a machine?;
FL1_2.MES;5;0x108;Y;A6 AA;;
FL1_2.MES;6;0x10A;N;［女の子］人を捜しているですって？・・・いったい誰を？・・・ヨーコ？;[Girl] Are you looking for someone? ... who on earth? ... Yoko?;
FL1_2.MES;7;0x14E;Y;A6 AA;;
FL1_2.MES;8;0x150;N;［女の子］残念ね、私はヨーコなんて名前じゃないわよ。あら？・・・ヨーコですって？・・・あなた、ひょっとして大神官のヨーコ様を探してるの？;[Girl] Unfortunately, I'm not the name Yoko. Oh? ... Yoko? ... are you looking for a big priest, Yoko?;
FL1_2.MES;9;0x1D8;Y;A6 AA;;
FL1_2.MES;10;0x1DA;N;［女の子］私の名前はレイラ。さっきからずっとここにいるけれどヨーコ様のお姿は見かけなかったわよ。;[Girl] My name is Leila. I've been here for a while, but I didn't see Yoko-sama.;
FL1_2.MES;11;0x23A;Y;A6 AA;;
FL1_2.MES;12;0x23C;N;［レイラ］それよりも、どうしてヨーコ様を捜しているの？・・・まさか、ヨーコ様のファンで追っかけをしているとか？;[Reira] Why are you looking for Yoko-sama? ... Isn't it that Yoko's fan is chasing you?;
FL1_2.MES;13;0x2AA;Y;A6 AA;;
FL1_2.MES;14;0x2AC;N;［レイラ］違うの？・・・とにかくわけありみたいね。よかったら、おねーさんに話をしてみない？;[Reira] Is it different? ... It just seems like there is a reason. If you don't mind, why don't you talk to your sister?;
