FILENAME;ID;START_POS;IS_HEX;TEXT_ORIGINAL;TEXT_LITERAL_ENGLISH;TEXT_CONVERTED_ENGLISH;LINE_WIDTH
OPEN_END.MES;1;0x0;N;－－－－－　オープニング　－－－－－;－－－－－Opening－－－－－;;99
OPEN_END.MES;2;0x24;Y;86 B1 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 BD ;;;99
OPEN_END.MES;3;0x68;N;真っ黒な空間の中に赤や黄色の星が瞬いている。しばらくすると、コーという音がはいる。きらめいていた星の数がだんだんと増え暗闇の中に巨大な宇宙船が浮かびあがる。クレジット表示ミュージックＦＯ、スクリーンＦＯ;Red and yellow stars are blinking in the black space. After a while, there is a clicking sound. The number of twinkling stars gradually increases, and a huge spaceship emerges in the darkness. Credit display Music FO, Screen FO;;99
OPEN_END.MES;4;0x132;Y;86 B1 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 B1 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 81 40 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 BD 86 A5 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 BD ;;;99
OPEN_END.MES;5;0x198;N;何か不思議な感じの回想シーンの曲。新緑が美しい明るい田舎道。水色の長い髪の少女が倒れている。（この少女とルピアは、顔つきを同じにしてください。）;A song of a mysterious reminiscence scene. A bright country road with beautiful fresh green. A light blue girl with long hair is lying down. (This girl and Rupiah should look the same.);;99
OPEN_END.MES;6;0x228;Y;86 B1 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 B1 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 81 40 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 BD 86 A5 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 BD ;;;99
OPEN_END.MES;7;0x28E;N;少女を抱き起こす男。男に支えられ気がつく少女。ミュージックＦＯ、スクリーンＦＯ;A man who holds a girl up. A girl supported by a man and noticed. Music FO, Screen FO;;99
OPEN_END.MES;8;0x2DC;Y;86 B1 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 C5 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 CD 86 A5 86 A5 86 C5 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 CD 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 BD;;;99
OPEN_END.MES;9;0x340;N;タイトルロゴの表示タイトルのかっこいい曲。;Title logo display A cool song with a title.;;99
OPEN_END.MES;10;0x36A;Y;86 B1 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 B1 86 A3 86 A3 86 A3 86 A3 86 B5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 86 A5 81 40 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 BD 86 A5 86 A5 86 A5 86 B9 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 A3 86 BD ;;;99
